Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,21,UTA,NBA,PF,82,1,18.0,2.5,4.9,.525,0.0,0.0,.333,2.5,4.8,.527,.526,1.7,2.5,.673,2.2,2.9,5.2,0.8,0.8,0.9,1.1,2.9,6.8
2007-08,22,UTA,NBA,PF,82,2,20.8,3.1,6.1,.504,0.0,0.0,.000,3.1,6.1,.508,.504,1.9,2.8,.677,2.0,3.6,5.6,1.0,0.9,0.9,1.1,3.3,8.1
2008-09,23,UTA,NBA,PF,76,38,30.1,5.3,9.9,.534,0.0,0.1,.000,5.3,9.8,.537,.534,3.0,4.3,.699,3.3,5.3,8.6,1.8,1.0,1.0,1.7,3.8,13.5
2009-10,24,UTA,NBA,PF,82,8,27.8,4.7,8.7,.538,0.0,0.1,.111,4.7,8.6,.543,.538,2.2,3.2,.693,2.3,4.5,6.8,1.6,0.8,1.2,1.4,3.5,11.6
2010-11,25,UTA,NBA,PF,76,76,34.3,6.9,13.0,.531,0.1,0.3,.391,6.8,12.7,.535,.536,3.4,4.4,.757,2.2,5.5,7.6,2.5,1.4,0.9,1.9,3.6,17.3
2011-12,26,UTA,NBA,PF,64,62,32.8,6.7,13.5,.495,0.1,0.5,.226,6.5,13.0,.505,.499,3.2,4.0,.792,2.8,6.0,8.8,2.3,1.8,0.8,1.8,3.5,16.6
2012-13,27,UTA,NBA,PF,78,78,30.4,5.5,11.2,.490,0.2,0.5,.333,5.3,10.7,.498,.498,3.4,4.6,.742,2.3,4.8,7.1,2.6,1.3,1.0,1.8,3.0,14.6
2013-14,28,ATL,NBA,PF,74,73,33.5,6.5,14.1,.461,1.0,2.9,.358,5.5,11.3,.487,.498,3.9,5.3,.731,2.1,6.4,8.5,3.1,1.7,1.1,2.5,2.8,17.9
2014-15,29,ATL,NBA,PF,73,73,32.7,6.1,12.7,.476,1.1,3.0,.356,5.0,9.8,.513,.518,3.5,4.6,.757,1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7
2015-16,30,ATL,NBA,PF,81,81,32.7,6.2,13.2,.470,0.9,2.9,.319,5.3,10.3,.512,.505,3.8,5.0,.757,2.4,6.6,9.0,3.3,1.8,1.7,2.4,2.9,17.1
2016-17,31,ATL,NBA,PF,69,67,34.0,6.2,14.1,.442,1.1,3.5,.311,5.1,10.6,.486,.481,4.5,5.9,.768,1.6,6.1,7.7,3.7,1.3,0.9,2.3,2.7,18.1
2017-18,32,DEN,NBA,PF,38,37,30.1,5.3,11.4,.464,1.0,3.0,.345,4.3,8.5,.506,.509,2.9,4.2,.696,1.7,4.7,6.4,2.8,1.0,1.2,1.9,2.6,14.6
2018-19,33,DEN,NBA,PF,70,65,27.1,4.6,9.5,.484,0.8,2.3,.365,3.8,7.2,.522,.528,2.6,3.6,.727,2.2,5.0,7.2,2.0,1.2,0.8,1.4,2.6,12.6
2019-20,34,DEN,NBA,PF,12,12,26.3,4.6,9.5,.482,1.4,2.8,.515,3.2,6.8,.469,.557,3.5,4.0,.875,2.0,4.1,6.1,1.3,0.9,0.7,1.1,3.0,14.1
Career,,,NBA,,957,673,29.3,5.3,10.8,.491,0.5,1.4,.339,4.8,9.4,.513,.512,3.1,4.2,.736,2.2,5.1,7.4,2.3,1.3,1.0,1.8,3.1,14.1
