Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,23,BRK,NBA,C,70,22,18.2,2.8,4.3,.659,0.0,0.0,.000,2.8,4.3,.666,.659,1.7,2.8,.626,1.4,3.0,4.4,0.9,0.7,0.8,1.1,2.4,7.4
2014-15,24,BRK,NBA,C,82,45,21.3,3.4,6.0,.573,0.0,0.0,.000,3.4,5.9,.576,.573,1.9,3.9,.495,2.1,4.1,6.2,0.9,0.8,0.8,1.3,2.5,8.7
2015-16,25,POR,NBA,C,82,82,25.4,3.3,6.3,.516,0.0,0.0,.000,3.3,6.3,.520,.516,2.6,4.1,.642,2.5,5.2,7.7,2.8,0.8,1.0,1.9,3.1,9.1
2016-17,26,TOT,NBA,C,81,64,26.5,4.1,7.7,.536,0.0,0.1,.000,4.1,7.6,.541,.536,2.1,3.7,.580,2.1,5.4,7.5,3.5,0.9,1.1,1.7,2.8,10.4
2016-17,26,POR,NBA,C,54,54,28.1,4.4,8.2,.532,0.0,0.1,.000,4.4,8.1,.538,.532,2.4,4.1,.567,2.2,5.8,8.0,4.0,0.9,1.2,1.6,2.8,11.1
2016-17,26,DEN,NBA,C,27,10,23.4,3.7,6.7,.547,0.0,0.0,.000,3.7,6.7,.550,.547,1.7,2.8,.618,1.9,4.6,6.4,2.6,0.7,1.1,1.7,2.9,9.1
2017-18,27,DEN,NBA,C,74,26,19.4,3.0,5.0,.601,0.0,0.0,.000,3.0,5.0,.602,.601,1.1,2.4,.458,1.8,3.6,5.4,1.9,0.7,1.1,1.4,2.5,7.1
2018-19,28,DEN,NBA,C,82,17,21.1,3.2,5.4,.593,0.0,0.1,.200,3.2,5.3,.602,.595,1.4,2.4,.561,2.0,4.4,6.4,3.0,0.8,0.9,1.5,3.1,7.8
2019-20,29,DEN,NBA,C,12,0,16.7,2.6,4.6,.564,0.0,0.2,.000,2.6,4.4,.585,.564,1.3,2.3,.536,1.8,4.1,5.8,2.3,0.7,0.8,1.3,3.0,6.4
Career,,,NBA,,483,256,22.0,3.3,5.8,.570,0.0,0.1,.069,3.3,5.7,.575,.570,1.8,3.2,.564,2.0,4.3,6.3,2.2,0.8,1.0,1.5,2.8,8.4
