Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,HOU,NBA,PF,17,0,7.4,0.9,3.2,.296,0.1,1.0,.118,0.8,2.2,.378,.315,0.4,0.5,.750,0.3,0.6,0.9,0.2,0.1,0.1,0.2,0.7,2.4
2012-13,23,TOT,NBA,PF-SF,77,23,19.8,2.9,6.8,.422,1.1,3.0,.369,1.8,3.8,.464,.504,0.9,1.5,.564,1.0,2.6,3.6,0.8,0.6,0.3,1.0,2.1,7.7
2012-13,23,HOU,NBA,PF,54,17,21.4,3.2,7.4,.428,1.4,3.6,.381,1.8,3.8,.471,.520,0.9,1.4,.653,1.2,2.9,4.1,0.9,0.5,0.3,1.0,2.2,8.6
2012-13,23,PHO,NBA,SF,23,6,16.1,2.2,5.5,.405,0.5,1.7,.308,1.7,3.8,.448,.452,0.7,1.8,.405,0.7,1.8,2.5,0.7,0.8,0.2,1.0,1.7,5.7
2013-14,24,PHO,NBA,SF,82,1,22.0,3.5,7.9,.442,1.2,3.2,.381,2.3,4.8,.483,.518,1.5,1.9,.761,1.0,2.9,3.9,1.1,0.9,0.2,1.2,1.9,9.7
2014-15,25,PHO,NBA,PF,81,35,25.2,4.1,9.4,.434,1.4,3.9,.358,2.7,5.6,.487,.507,0.9,1.4,.628,0.9,3.9,4.8,1.6,0.8,0.2,0.9,2.3,10.4
2015-16,26,DET,NBA,SF,80,80,35.7,5.1,11.8,.434,1.4,3.7,.362,3.8,8.1,.467,.491,2.5,3.4,.749,1.1,3.9,5.1,2.5,0.8,0.3,1.8,2.1,14.1
2016-17,27,DET,NBA,SF,79,79,32.5,5.3,12.7,.418,1.5,4.5,.331,3.8,8.2,.466,.477,1.8,2.3,.784,1.0,3.7,4.6,2.0,0.7,0.3,1.1,2.1,14.0
2017-18,28,BOS,NBA,PF,54,21,26.8,4.9,11.3,.429,1.6,4.3,.368,3.3,7.0,.467,.499,2.3,2.9,.805,0.8,4.6,5.4,1.3,0.6,0.2,1.2,1.9,13.6
2018-19,29,BOS,NBA,PF,75,53,27.9,5.0,11.3,.447,1.9,5.2,.375,3.1,6.1,.508,.533,1.9,2.3,.844,1.0,5.1,6.1,1.5,0.6,0.3,1.2,2.4,13.9
2019-20,30,NYK,NBA,PF,14,14,33.7,5.8,14.1,.409,2.5,5.5,.455,3.3,8.6,.380,.497,4.5,5.4,.840,1.0,4.9,5.9,1.2,1.0,0.8,2.0,3.1,18.6
Career,,,NBA,,559,306,26.7,4.3,10.0,.430,1.4,3.9,.364,2.9,6.1,.472,.501,1.7,2.2,.753,1.0,3.7,4.6,1.5,0.7,0.3,1.2,2.1,11.7
