Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,20,IND,NBA,SG,12,0,9.6,1.1,3.3,.333,0.0,0.4,.000,1.1,2.8,.382,.333,0.9,1.2,.786,0.1,1.4,1.5,1.8,0.3,0.0,1.3,1.2,3.1
2011-12,21,IND,NBA,SG,42,1,10.5,1.1,3.0,.376,0.1,0.7,.133,1.0,2.3,.453,.392,0.2,0.4,.471,0.3,1.0,1.3,1.1,0.5,0.1,0.9,0.7,2.5
2012-13,22,IND,NBA,SG,78,72,29.2,3.5,7.7,.460,0.8,2.4,.330,2.7,5.3,.520,.512,1.0,1.5,.652,0.6,3.3,3.9,2.9,1.0,0.2,1.4,2.1,8.8
2013-14,23,IND,NBA,SG,78,78,35.3,5.5,11.2,.491,1.1,3.1,.352,4.4,8.0,.545,.540,1.8,2.5,.711,1.2,5.9,7.2,4.6,0.7,0.1,2.7,2.5,13.8
2014-15,24,CHO,NBA,SG,61,25,25.8,3.4,9.0,.376,0.3,1.7,.171,3.1,7.3,.425,.393,1.1,1.8,.627,0.6,3.9,4.5,3.9,0.6,0.1,2.1,2.2,8.2
2015-16,25,TOT,NBA,SF,69,13,19.9,3.3,6.9,.481,0.4,1.1,.385,2.9,5.7,.500,.513,1.3,1.6,.784,0.6,2.7,3.2,1.9,0.6,0.1,1.4,2.0,8.3
2015-16,25,LAC,NBA,SF,43,10,15.8,1.9,3.9,.494,0.4,1.1,.404,1.5,2.8,.529,.551,0.5,0.7,.700,0.4,2.1,2.5,1.4,0.6,0.1,1.1,1.8,4.7
2015-16,25,MEM,NBA,SF,26,3,26.6,5.6,11.8,.474,0.4,1.2,.355,5.2,10.7,.487,.492,2.5,3.1,.815,0.8,3.6,4.4,2.8,0.7,0.2,1.8,2.2,14.2
2016-17,26,TOT,NBA,SG,18,0,20.1,3.0,6.7,.450,0.3,1.1,.300,2.7,5.6,.480,.475,0.4,0.7,.615,0.2,2.7,2.9,3.3,0.3,0.2,1.4,1.8,6.8
2016-17,26,NOP,NBA,SG,6,0,27.0,4.3,9.2,.473,0.2,1.7,.100,4.2,7.5,.556,.482,0.8,1.3,.625,0.5,2.5,3.0,4.8,0.3,0.2,1.8,3.0,9.7
2016-17,26,MIN,NBA,SG,6,0,11.2,1.7,3.5,.476,0.0,0.3,.000,1.7,3.2,.526,.476,0.2,0.3,.500,0.0,1.7,1.7,0.8,0.0,0.0,0.7,0.3,3.5
2016-17,26,IND,NBA,SG,6,0,22.0,3.0,7.3,.409,0.8,1.3,.625,2.2,6.0,.361,.466,0.3,0.5,.667,0.2,3.8,4.0,4.2,0.5,0.3,1.8,2.0,7.2
2017-18,27,IND,NBA,SG,82,7,22.6,3.7,8.6,.427,0.8,2.8,.289,2.9,5.8,.495,.475,1.0,1.5,.661,0.8,4.4,5.2,2.9,0.6,0.2,1.6,2.2,9.2
2018-19,28,LAL,NBA,SG,23,0,15.0,2.9,6.7,.426,1.0,2.6,.367,1.9,4.1,.463,.497,0.7,0.8,.833,0.6,2.8,3.4,1.9,0.7,0.1,1.2,1.5,7.3
Career,,,NBA,,463,196,23.9,3.5,7.9,.445,0.6,2.1,.307,2.9,5.8,.495,.486,1.1,1.6,.688,0.7,3.6,4.3,2.9,0.7,0.1,1.7,2.0,8.7
