Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,23,SAS,NBA,PF,19,0,10.9,1.0,3.4,.292,0.5,2.2,.220,0.5,1.3,.417,.362,0.3,0.5,.500,0.6,1.5,2.2,0.9,0.3,0.1,0.4,0.8,2.7
2009-10,24,TOT,NBA,PF,46,29,31.0,4.2,9.8,.430,1.1,3.3,.329,3.1,6.5,.481,.486,2.2,2.9,.769,1.8,5.1,7.0,1.9,0.7,0.7,1.0,2.8,11.7
2009-10,24,POR,NBA,PF,2,0,2.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0
2009-10,24,GSW,NBA,PF,44,29,32.3,4.4,10.2,.431,1.1,3.4,.331,3.3,6.8,.481,.487,2.3,3.0,.769,1.9,5.3,7.3,2.0,0.7,0.8,1.0,2.9,12.3
2010-11,25,MIN,NBA,SF,65,4,21.0,2.2,4.8,.450,0.7,1.8,.409,1.4,3.0,.475,.526,1.6,2.0,.802,1.4,3.1,4.5,1.3,0.4,0.4,0.8,2.2,6.7
2011-12,26,MIN,NBA,SF,51,0,17.3,1.4,3.6,.390,0.5,2.0,.248,0.9,1.6,.568,.459,0.8,1.1,.745,1.0,2.0,3.0,0.4,0.4,0.4,0.7,1.7,4.1
2012-13,27,ATL,NBA,SF,62,11,15.5,1.3,3.5,.380,0.7,2.1,.338,0.6,1.3,.446,.484,0.7,0.8,.863,0.5,2.0,2.5,0.5,0.2,0.2,0.6,1.1,4.1
2013-14,28,CHA,NBA,PF,64,9,20.3,2.0,4.8,.420,1.6,3.9,.413,0.4,0.9,.450,.586,0.5,0.6,.805,0.5,2.1,2.6,0.7,0.3,0.2,0.4,1.3,6.1
2014-15,29,TOT,NBA,PF,76,11,18.8,2.1,5.2,.410,1.4,3.8,.366,0.7,1.4,.534,.545,0.7,0.9,.783,0.7,2.4,3.1,0.8,0.3,0.2,0.7,1.8,6.3
2014-15,29,PHO,NBA,PF,24,0,11.3,1.1,3.1,.351,1.0,2.6,.387,0.1,0.5,.167,.514,0.2,0.3,.667,0.3,1.6,1.8,0.4,0.2,0.0,0.5,0.8,3.3
2014-15,29,DET,NBA,PF,52,11,22.3,2.6,6.1,.423,1.6,4.4,.360,1.0,1.8,.582,.552,1.0,1.2,.794,0.9,2.8,3.7,0.9,0.4,0.3,0.8,2.3,7.7
2015-16,30,DET,NBA,PF,72,5,18.6,1.8,4.6,.386,1.4,3.8,.360,0.4,0.8,.500,.533,0.4,0.7,.617,0.5,2.6,3.2,0.7,0.4,0.2,0.4,1.2,5.3
2016-17,31,SAC,NBA,PF,65,9,22.7,2.4,5.4,.442,1.4,3.5,.391,1.0,1.9,.537,.570,0.9,1.3,.744,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1
2017-18,32,DET,NBA,PF,79,14,22.2,2.8,6.0,.464,2.0,4.6,.436,0.8,1.4,.561,.632,1.3,1.7,.797,0.6,2.4,3.1,1.1,0.4,0.3,0.7,1.8,8.9
2018-19,33,MIN,NBA,PF,65,0,16.6,1.5,4.0,.382,1.2,3.3,.377,0.3,0.7,.409,.539,0.7,0.9,.783,0.2,2.5,2.7,0.7,0.3,0.3,0.6,1.4,5.0
2019-20,34,POR,NBA,PF,12,5,16.4,0.8,3.4,.244,0.7,2.8,.242,0.2,0.7,.250,.341,0.8,0.9,.818,0.7,2.6,3.3,0.7,0.3,0.3,0.8,0.9,3.1
Career,,,NBA,,676,97,19.9,2.1,5.0,.416,1.2,3.2,.374,0.9,1.8,.495,.538,0.9,1.2,.773,0.8,2.6,3.4,0.9,0.4,0.3,0.6,1.6,6.3
