Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,19,UTA,NBA,C,66,0,13.2,1.8,3.6,.496,0.0,0.0,.000,1.8,3.6,.498,.496,1.1,1.6,.667,1.6,2.6,4.2,0.1,0.3,0.3,0.8,1.3,4.6
2012-13,20,UTA,NBA,C,70,2,15.4,2.9,5.4,.544,0.0,0.0,1.000,2.9,5.4,.542,.545,1.3,1.7,.795,1.9,2.4,4.3,0.4,0.4,0.5,1.4,1.7,7.2
2013-14,21,UTA,NBA,C,80,37,26.7,5.2,10.7,.491,0.0,0.0,.000,5.2,10.7,.492,.491,1.9,2.6,.730,2.8,4.7,7.5,0.9,0.4,0.5,1.8,2.9,12.3
2014-15,22,TOT,NBA,C,75,74,28.5,6.4,12.4,.519,0.2,0.6,.356,6.2,11.8,.528,.528,2.4,3.1,.782,3.7,5.3,8.9,0.7,0.5,0.4,1.9,2.5,15.5
2014-15,22,UTA,NBA,C,49,48,27.1,5.8,11.9,.491,0.3,0.8,.317,5.6,11.0,.505,.503,1.9,2.4,.788,3.0,4.8,7.8,0.5,0.5,0.3,1.9,2.3,13.8
2014-15,22,OKC,NBA,C,26,26,31.1,7.5,13.3,.566,0.1,0.2,.750,7.4,13.2,.564,.571,3.5,4.5,.776,5.0,6.0,11.0,1.1,0.5,0.5,2.0,2.9,18.7
2015-16,23,OKC,NBA,C,82,1,21.0,5.0,8.8,.576,0.1,0.3,.476,4.9,8.5,.579,.583,2.4,3.1,.797,3.0,5.1,8.1,0.4,0.3,0.4,1.4,2.0,12.7
2016-17,24,OKC,NBA,C,72,0,21.3,5.6,10.2,.545,0.1,0.5,.132,5.5,9.7,.568,.549,3.1,4.0,.786,2.7,4.0,6.7,0.9,0.4,0.5,1.7,2.1,14.3
2017-18,25,NYK,NBA,C,71,71,25.8,5.9,10.0,.592,0.0,0.0,.000,5.9,10.0,.594,.592,2.2,2.6,.848,3.8,7.1,11.0,1.5,0.5,0.5,1.7,2.6,14.1
2018-19,26,TOT,NBA,C,67,31,24.5,5.6,10.2,.549,0.1,0.5,.294,5.4,9.7,.562,.556,2.3,2.9,.787,3.8,6.0,9.8,1.7,0.5,0.4,1.8,2.5,13.7
2018-19,26,NYK,NBA,C,44,23,25.6,5.7,10.6,.536,0.2,0.5,.318,5.5,10.1,.547,.544,2.4,2.9,.814,3.9,6.6,10.5,1.9,0.4,0.4,1.8,2.4,14.0
2018-19,26,POR,NBA,C,23,8,22.3,5.4,9.3,.577,0.1,0.5,.250,5.3,8.8,.596,.584,2.2,3.0,.735,3.7,4.9,8.6,1.4,0.6,0.4,1.7,2.7,13.1
2019-20,27,BOS,NBA,C,8,2,15.1,2.6,4.4,.600,0.0,0.1,.000,2.6,4.3,.618,.600,1.6,2.6,.619,2.1,3.5,5.6,0.9,0.5,0.5,0.9,1.3,6.9
Career,,,NBA,,591,218,22.1,4.8,8.9,.541,0.1,0.2,.292,4.8,8.7,.548,.545,2.1,2.7,.778,2.9,4.7,7.6,0.8,0.4,0.4,1.6,2.2,11.8
